"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B11012_001E","Estimate!!Total:"
"B11012_001EA","Annotation of Estimate!!Total:"
"B11012_001M","Margin of Error!!Total:"
"B11012_001MA","Annotation of Margin of Error!!Total:"
"B11012_002E","Estimate!!Total:!!Married-couple household:"
"B11012_002EA","Annotation of Estimate!!Total:!!Married-couple household:"
"B11012_002M","Margin of Error!!Total:!!Married-couple household:"
"B11012_002MA","Annotation of Margin of Error!!Total:!!Married-couple household:"
"B11012_003E","Estimate!!Total:!!Married-couple household:!!With own children under 18 years"
"B11012_003M","Margin of Error!!Total:!!Married-couple household:!!With own children under 18 years"
"B11012_003MA","Annotation of Margin of Error!!Total:!!Married-couple household:!!With own children under 18 years"
"B11012_003EA","Annotation of Estimate!!Total:!!Married-couple household:!!With own children under 18 years"
"B11012_004E","Estimate!!Total:!!Married-couple household:!!With no own children under 18 years"
"B11012_004EA","Annotation of Estimate!!Total:!!Married-couple household:!!With no own children under 18 years"
"B11012_004M","Margin of Error!!Total:!!Married-couple household:!!With no own children under 18 years"
"B11012_004MA","Annotation of Margin of Error!!Total:!!Married-couple household:!!With no own children under 18 years"
"B11012_005E","Estimate!!Total:!!Cohabiting couple household:"
"B11012_005M","Margin of Error!!Total:!!Cohabiting couple household:"
"B11012_005MA","Annotation of Margin of Error!!Total:!!Cohabiting couple household:"
"B11012_005EA","Annotation of Estimate!!Total:!!Cohabiting couple household:"
"B11012_006E","Estimate!!Total:!!Cohabiting couple household:!!With own children of the householder under 18 years"
"B11012_006M","Margin of Error!!Total:!!Cohabiting couple household:!!With own children of the householder under 18 years"
"B11012_006MA","Annotation of Margin of Error!!Total:!!Cohabiting couple household:!!With own children of the householder under 18 years"
"B11012_006EA","Annotation of Estimate!!Total:!!Cohabiting couple household:!!With own children of the householder under 18 years"
"B11012_007E","Estimate!!Total:!!Cohabiting couple household:!!With no own children of the householder under 18 years"
"B11012_007M","Margin of Error!!Total:!!Cohabiting couple household:!!With no own children of the householder under 18 years"
"B11012_007MA","Annotation of Margin of Error!!Total:!!Cohabiting couple household:!!With no own children of the householder under 18 years"
"B11012_007EA","Annotation of Estimate!!Total:!!Cohabiting couple household:!!With no own children of the householder under 18 years"
"B11012_008E","Estimate!!Total:!!Female householder, no spouse or partner present:"
"B11012_008EA","Annotation of Estimate!!Total:!!Female householder, no spouse or partner present:"
"B11012_008M","Margin of Error!!Total:!!Female householder, no spouse or partner present:"
"B11012_008MA","Annotation of Margin of Error!!Total:!!Female householder, no spouse or partner present:"
"B11012_009E","Estimate!!Total:!!Female householder, no spouse or partner present:!!Living alone"
"B11012_009M","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!Living alone"
"B11012_009MA","Annotation of Margin of Error!!Total:!!Female householder, no spouse or partner present:!!Living alone"
"B11012_009EA","Annotation of Estimate!!Total:!!Female householder, no spouse or partner present:!!Living alone"
"B11012_010E","Estimate!!Total:!!Female householder, no spouse or partner present:!!With own children under 18 years"
"B11012_010M","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With own children under 18 years"
"B11012_010MA","Annotation of Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With own children under 18 years"
"B11012_010EA","Annotation of Estimate!!Total:!!Female householder, no spouse or partner present:!!With own children under 18 years"
"B11012_011E","Estimate!!Total:!!Female householder, no spouse or partner present:!!With relatives, no own children under 18 years"
"B11012_011M","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With relatives, no own children under 18 years"
"B11012_011MA","Annotation of Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With relatives, no own children under 18 years"
"B11012_011EA","Annotation of Estimate!!Total:!!Female householder, no spouse or partner present:!!With relatives, no own children under 18 years"
"B11012_012E","Estimate!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present"
"B11012_012EA","Annotation of Estimate!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present"
"B11012_012M","Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present"
"B11012_012MA","Annotation of Margin of Error!!Total:!!Female householder, no spouse or partner present:!!With only nonrelatives present"
"B11012_013E","Estimate!!Total:!!Male householder, no spouse or partner present:"
